City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
131,Naryan-Mar,RU,2021-05-24 02:04:32,67.6713,53.087,34.11,61,10,7.52,clear sky
132,Asau,RO,2021-05-24 02:04:32,46.4333,26.4,59.92,92,33,10.74,scattered clouds
133,Cabo San Lucas,MX,2021-05-24 02:04:32,22.8909,-109.9124,82.81,50,40,8.05,scattered clouds
134,Wana,PK,2021-05-24 02:04:33,32.2989,69.5725,67.8,46,0,2.04,clear sky
135,Cantagallo,CO,2021-05-24 02:04:33,7.376,-73.9196,77.02,96,99,1.52,light rain
136,Ponta Do Sol,PT,2021-05-24 02:04:33,32.6667,-17.1,64.71,72,98,9.46,overcast clouds
137,San Joaquin,US,2021-05-24 02:04:34,37.9333,-121.3011,79.18,31,1,8.05,clear sky
138,Tuatapere,NZ,2021-05-24 02:04:34,-46.1333,167.6833,49.82,69,14,4.36,few clouds
139,Tyukalinsk,RU,2021-05-24 02:04:34,55.8732,72.1967,63.46,76,100,7.72,overcast clouds
140,Astana,KZ,2021-05-24 02:04:34,51.1801,71.446,67.95,36,0,5.68,clear sky
141,Te Anau,NZ,2021-05-24 02:04:35,-45.4167,167.7167,47.82,72,18,3.27,few clouds
142,Lorengau,PG,2021-05-24 02:04:29,-2.0226,147.2712,85.91,70,95,9.24,overcast clouds
143,Adrar,MR,2021-05-24 02:04:35,20.5022,-10.0711,89.46,21,81,8.72,broken clouds
144,Kloulklubed,PW,2021-05-24 02:04:36,7.0419,134.2556,82.9,76,100,7.72,overcast clouds
145,Manta,EC,2021-05-24 02:04:36,-0.95,-80.7333,74.98,83,40,5.75,scattered clouds
146,Cape Coast,GH,2021-05-24 02:04:37,5.1053,-1.2466,79.3,86,88,6.04,overcast clouds
147,Grand Gaube,MU,2021-05-24 02:04:37,-20.0064,57.6608,72.0,82,20,3.0,few clouds
148,Ercis,TR,2021-05-24 02:04:37,39.0287,43.3586,47.8,69,83,6.46,broken clouds
149,Ust-Uda,RU,2021-05-24 02:04:38,54.1742,103.0304,51.62,50,35,5.53,scattered clouds
150,Ribeira Grande,PT,2021-05-24 02:04:38,38.5167,-28.7,60.13,63,84,3.87,broken clouds
151,Mount Gambier,AU,2021-05-24 02:04:27,-37.8333,140.7667,65.05,48,100,13.69,overcast clouds
152,Ouesso,CG,2021-05-24 02:04:38,1.6136,16.0517,70.0,98,81,1.54,broken clouds
153,Talnakh,RU,2021-05-24 02:04:39,69.4865,88.3972,33.15,100,100,6.96,overcast clouds
154,Grindavik,IS,2021-05-24 02:04:39,63.8424,-22.4338,42.91,73,0,3.04,clear sky
155,Puerto Del Rosario,ES,2021-05-24 02:04:40,28.5004,-13.8627,64.15,68,9,24.16,clear sky
156,Half Moon Bay,US,2021-05-24 02:04:40,37.4636,-122.4286,70.41,83,40,1.01,scattered clouds
157,Kirensk,RU,2021-05-24 02:04:41,57.7853,108.1119,55.09,28,8,4.05,clear sky
158,Ulaangom,MN,2021-05-24 02:04:15,49.9811,92.0667,62.33,35,10,3.15,clear sky
159,Kodinsk,RU,2021-05-24 02:04:41,58.6881,99.1844,51.53,75,100,11.65,overcast clouds
160,Severo-Kurilsk,RU,2021-05-24 02:04:41,50.6789,156.125,45.64,65,60,15.37,broken clouds
