City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
210,Payakumbuh,ID,2021-05-24 03:23:23,-0.2202,100.6308,83.62,66,60,1.5
211,Rapid Valley,US,2021-05-24 03:23:23,44.0625,-103.1463,52.65,87,75,8.05
212,Pisco,PE,2021-05-24 03:23:24,-13.7,-76.2167,64.45,82,100,4.61
213,Poplar Bluff,US,2021-05-24 03:21:39,36.757,-90.3929,75.67,83,1,0.0
214,Egvekinot,RU,2021-05-24 03:23:24,66.3167,-179.1667,32.07,96,95,5.48
215,Nioro,GM,2021-05-24 03:23:24,13.35,-15.75,78.44,42,99,6.6
216,Catuday,PH,2021-05-24 03:23:25,16.2923,119.8062,83.75,70,0,5.1
217,Shimoda,JP,2021-05-24 03:23:25,34.6667,138.95,77.16,63,96,10.04
218,Noyabrsk,RU,2021-05-24 03:23:25,63.1994,75.4507,55.6,53,35,20.4
219,Saskylakh,RU,2021-05-24 03:23:25,71.9167,114.0833,38.44,100,100,18.77
220,Mackenzie,CA,2021-05-24 03:23:26,55.2999,-123.1698,68.22,24,1,5.75
221,Undory,RU,2021-05-24 03:23:26,54.6085,48.3928,60.04,92,100,8.81
222,Zhireken,RU,2021-05-24 03:23:26,52.8249,117.3076,42.01,66,100,13.38
223,Kavieng,PG,2021-05-24 03:23:26,-2.5744,150.7967,82.54,77,100,8.12
224,Mardan,PK,2021-05-24 03:22:05,34.2019,72.0525,81.14,40,0,5.17
225,Tynda,RU,2021-05-24 03:23:27,55.1667,124.7167,37.04,99,100,9.42
226,Jega,NG,2021-05-24 03:23:27,12.2175,4.3792,84.42,55,22,12.06
227,Palmer,US,2021-05-24 03:23:28,42.1584,-72.3287,63.21,68,75,8.37
228,Hofn,IS,2021-05-24 03:23:28,64.2539,-15.2082,41.05,77,100,12.44
229,Avera,US,2021-05-24 03:23:28,33.194,-82.5271,77.72,55,29,5.03
230,Poso,ID,2021-05-24 03:23:29,-1.3959,120.7524,83.55,74,94,3.56
231,Port Hawkesbury,CA,2021-05-24 03:23:29,45.6169,-61.3485,41.79,90,75,8.01
232,Alta Floresta,BR,2021-05-24 03:23:30,-9.8756,-56.0861,72.93,89,62,1.66
233,Kaka,TM,2021-05-24 03:23:30,37.3482,59.6143,83.48,11,2,1.66
234,La Florida,CO,2021-05-24 03:23:30,1.2985,-77.4061,56.82,91,78,4.79
235,Kahului,US,2021-05-24 03:23:31,20.8947,-156.47,84.22,73,40,18.41
236,Alice Springs,AU,2021-05-24 03:19:59,-23.7,133.8833,80.15,18,0,11.81
237,Vila Velha,BR,2021-05-24 03:23:20,-20.3297,-40.2925,74.95,87,0,4.0
238,Oni,GE,2021-05-24 03:23:31,42.5794,43.4425,59.18,80,75,0.65
239,Espinal,CO,2021-05-24 03:23:31,4.1492,-74.8843,75.72,85,100,0.76
240,Novaya Zaimka,RU,2021-05-24 03:23:32,56.4857,66.9241,68.45,58,93,2.55
241,Muscat,OM,2021-05-24 03:23:32,23.6139,58.5922,100.42,50,0,2.19
242,Sitka,US,2021-05-24 03:23:32,57.0531,-135.33,51.69,76,75,9.22
243,Airai,TL,2021-05-24 03:23:33,-8.9266,125.4092,74.61,44,34,2.64
244,Sisimiut,GL,2021-05-24 03:23:33,66.9395,-53.6735,30.92,88,100,10.16
245,Morehead,US,2021-05-24 03:23:33,37.2711,-87.1764,70.84,86,1,0.0
246,Camaligan,PH,2021-05-24 03:23:33,13.6224,123.1667,90.54,55,13,1.21
247,Portree,GB,2021-05-24 03:23:34,57.4129,-6.1942,41.86,93,100,5.73
248,Ancud,CL,2021-05-24 03:23:34,-41.8697,-73.8203,52.43,91,100,11.74
249,Berlevag,NO,2021-05-24 03:23:34,70.8578,29.0864,36.05,67,13,3.42
250,Bunia,CD,2021-05-24 03:23:35,1.5667,30.25,60.82,98,38,3.18
251,Shaowu,CN,2021-05-24 03:23:35,27.3409,117.4831,74.07,87,98,3.69
252,Guangyuan,CN,2021-05-24 03:23:35,32.442,105.823,71.8,56,99,4.03
253,Manavalakurichi,IN,2021-05-24 03:23:36,8.1333,77.3,84.29,78,100,14.58
254,Vaitape,PF,2021-05-24 03:23:36,-16.5167,-151.75,81.16,75,100,8.81
255,Pevek,RU,2021-05-24 03:23:36,69.7008,170.3133,32.52,85,10,5.48
256,Port Hardy,CA,2021-05-24 03:23:36,50.6996,-127.4199,50.18,87,90,5.75
257,Solwezi,ZM,2021-05-24 03:23:37,-12.1688,26.3894,46.06,83,0,4.05
258,Rantepao,ID,2021-05-24 03:19:05,-2.9701,119.8978,73.92,86,97,1.95
259,Vardo,NO,2021-05-24 03:23:37,70.3705,31.1107,35.83,67,14,6.44
260,Zapolyarnyy,RU,2021-05-24 03:23:37,69.4154,30.8136,33.08,82,31,2.8
261,Lagoa,PT,2021-05-24 03:23:38,39.05,-27.9833,60.06,65,100,6.42
262,Kedrovyy,RU,2021-05-24 03:23:38,56.1667,91.8167,59.41,82,100,13.31
263,Port Lincoln,AU,2021-05-24 03:23:38,-34.7333,135.8667,73.45,35,100,24.7
264,Severnyy,RU,2021-05-24 03:23:39,50.677,36.5532,53.64,66,0,2.24
265,Itoman,JP,2021-05-24 03:23:39,26.1247,127.6694,86.4,84,20,14.97
266,Kaduna,NG,2021-05-24 03:23:39,10.5222,7.4383,75.43,71,99,2.95
267,Grand Gaube,MU,2021-05-24 03:23:40,-20.0064,57.6608,72.0,81,32,4.0
268,Aklavik,CA,2021-05-24 03:23:40,68.2191,-135.0107,34.52,87,100,18.25
269,Aswan,EG,2021-05-24 03:23:40,24.0934,32.907,74.52,26,0,8.75
270,The Valley,AI,2021-05-24 03:23:41,18.217,-63.0578,82.26,84,100,16.13
271,Omsukchan,RU,2021-05-24 03:23:41,62.5333,155.8,41.77,74,82,4.14
272,Yenagoa,NG,2021-05-24 03:19:04,4.9247,6.2642,76.08,94,66,2.17
273,Hami,CN,2021-05-24 03:23:41,42.8,93.45,73.49,13,0,2.06
274,Oyama,JP,2021-05-24 03:23:41,36.3,139.8,83.89,37,81,3.8
275,Nizhniy Kuranakh,RU,2021-05-24 03:23:42,58.8353,125.4869,38.35,95,100,8.05
276,Nador,MA,2021-05-24 03:23:42,35.174,-2.9287,62.85,54,0,6.71
277,Hanchuan,CN,2021-05-24 03:23:42,30.65,113.7667,73.51,52,33,4.5
278,Deputatskiy,RU,2021-05-24 03:23:43,69.3,139.9,40.41,58,6,6.69
279,Tual,ID,2021-05-24 03:23:43,-5.6667,132.75,79.14,89,100,25.68
280,Los Llanos De Aridane,ES,2021-05-24 03:23:43,28.6585,-17.9182,64.15,70,75,19.82
281,Necochea,AR,2021-05-24 03:23:44,-38.5473,-58.7368,51.04,81,22,8.72
282,Nyurba,RU,2021-05-24 03:23:44,63.2842,118.3319,57.06,24,24,7.16
283,Sangar,RU,2021-05-24 03:23:44,63.9242,127.4739,56.88,30,98,9.66
284,Ndago,TZ,2021-05-24 03:23:45,-4.6,34.35,57.33,80,35,8.52
285,Cabo San Lucas,MX,2021-05-24 03:22:13,22.8909,-109.9124,79.81,67,0,10.85
286,Smithers,CA,2021-05-24 03:23:17,54.7804,-127.1743,59.32,38,40,21.85
287,Dicabisagan,PH,2021-05-24 03:23:45,17.0818,122.4157,89.8,60,1,8.57
288,Bengkulu,ID,2021-05-24 03:23:45,-3.8004,102.2655,83.7,68,98,1.9
289,Soria,ES,2021-05-24 03:23:46,41.6667,-2.6667,41.86,76,0,10.09
290,Ramshir,IR,2021-05-24 03:23:46,30.8946,49.4092,85.86,14,44,5.99
291,Nabire,ID,2021-05-24 03:23:46,-3.3667,135.4833,76.75,95,100,1.39
292,Puerto Narino,CO,2021-05-24 03:23:47,-3.7703,-70.3831,75.15,98,100,1.52
293,Komsomolskiy,UZ,2021-05-24 03:23:47,40.4272,71.7189,75.92,38,100,4.61
294,Puerto Del Rosario,ES,2021-05-24 03:23:47,28.5004,-13.8627,64.15,68,8,25.32
295,Sapouy,BF,2021-05-24 03:23:48,11.5544,-1.7736,81.75,55,61,6.64
